,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,An impossibility theorem for clustering,['J Kleinberg'],2002,Advances in neural information processing …,"[11] show how results from social choice theory, including versions of Arrow’s Impossibility  Theorem [2 In discrete location theory, Hansen and Roberts [5] prove an impossibility result for",['VX7d5EQAAAAJ'],823
1,Publication,An impossibility theorem for fixed preferences: a dictatorial Bergson-Samuelson welfare function,['RP Parks'],1976,The Review of Economic Studies,"[5] argue that the Arrow theorem really has nothing to  Arrow's function, and hence the  impossibility theorem has nothing to do with Bergson's welfare function. The result here, though, is",[''],139
2,Publication,Handbook of social choice and welfare,"['KJ Arrow', 'A Sen', 'K Suzumura']",2010,NA,"The literature on social choice theory is now quite vast, and we hope this collection of critical  surveys in two volumes will be of interest to readers who would like to be introduced to the","['', '', 'gJmqgEUAAAAJ']",719
3,Publication,The impossibility of a Paretian liberal,['A Sen'],1970,Journal of political economy,"theorem"" in the context of a social welfare function are in fact perfectly consistent if imposed  on a social decision function. The impossibility theorem  , unlike in the theorem of Arrow, we",[''],2052
4,Publication,Interpreting ArrowÃ¢ Â€ Â™ s Impossibility Theorem,['D Usher'],2017,NA,ArrowÂ’s Impossibility Theorem is commonly understood to invoke a dictatorship that is  somehow lurking within our voting arrangements. The theorem has been described as proving,[''],0
5,Publication,Social choice theory,['A Sen'],1986,Handbook of mathematical economics,"Publisher Summary This chapter discusses the social choice theory. There is social choice  problems, which deals with methods of marshalling information, particularly those relating to",[''],837
6,Publication,Methodological problems in QFD and directions for future development,['I Van De Poel'],2007,Research in Engineering Design,customer demands and the impossibility of translating customer  These problems are due  to Arrow’s Impossibility Theorem. I  is to cast it in terms of Arrow’s Impossibility Theorem. This,['iwn5cKAAAAAJ'],141
7,Publication,A Fourier-theoretic perspective on the Condorcet paradox and Arrow's theorem,['G Kalai'],2002,Advances in Applied Mathematics,Arrow’s theorem in a context which unified combinatorial impossibility theorems with topological  social choice theory There is no loss of generality to assume for Arrow’s theorem that the,['dghn3GoAAAAJ'],127
8,Publication,"Congress is a “they,” not an “it”: Legislative intent as oxymoron",['KA Shepsle'],1992,International Review of Law and Economics,"Arrow's famous impossibility theorem is subject to a number of different interpretations. As   In the context of majority rule voting, this theorem implies that it is not possible to guarantee",['NI1L0VMAAAAJ'],691
9,Publication,Aggregating sets of judgments: An impossibility result,"['C List', 'P Pettit']",2002,Economics & Philosophy,is a general impossibility theorem that that difficulty illustrates. Our paper describes this  impossibility  The result naturally invites comparison with Kenneth Arrow's famous theorem (Arrow,"['b6mn5-gAAAAJ', 'jQNfOoEAAAAJ']",776
10,Publication,Personal utilities and public judgements: or what's wrong with welfare economics,['A Sen'],1979,The economic journal,pair remaining the same.' Arrow's 'impossibility theorem' establishes that there is no SWF  satisfying all these four conditions.2 I would like to argue that the impossibility can be seen as,[''],899
11,Publication,The social dimension of scientific knowledge: responses to Mirowski,['T Uebel'],NA,NA,,[''],0
12,Publication,Internal consistency of choice,['A Sen'],1993,Econometrica: Journal of the Econometric Society,"here, but it is important to examine whether results such as Arrow's impossibility theorem can  be  with the establishment of impossibility theorems (like that of Arrow), there is also a more",[''],975
13,Publication,Social choice theory: A re-examination,['A Sen'],1977,Econometrica: journal of the Econometric Society,"20 ""Does this means that the Arrow problem is not really serious for social choice? I am  afraid it does not. What all this really shows is how economic Arrow's impossibility theorem is.",[''],865
14,Publication,"Rational choice, collective decisions, and social welfare",['K Suzumura'],2009,NA,"In Chapter 3 we set about analyzing the problem of the primordial rule selection, and we  examine Arrow's general impossibility theorem on the “rational,” “efficient,” and “democratic”",['gJmqgEUAAAAJ'],581
15,Publication,Assistive technology for the voting process,['G McGrew'],2012,… Information Technology and Innovation Foundation …,"more accessible and usable voting technology and processes at the poll  assistive  technologies that provide access and the capacity to participate in life activities, the process of voting",[''],5
16,Publication,Security implications for personal assistive technology in voting,"['SJ Swierenga', 'RS Zantjer', 'JE Jackson', 'J Ismirle']",2015,… Conference on Human …,"Voting security and accessibility are important  voting systems or integrating technologies  into the voting process, eg, remote voting, mobile voting, and/or supporting personal assistive","['', '', '', 'VIbSzt0AAAAJ']",4
