,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Improving accessibility of the Australian My Health Records while preserving privacy and security of the system,"['P Vimalachandran', 'H Liu', 'Y Lin', 'K Ji', 'H Wang']",2020,… Information Science and …,"In this paper, we review and address the impact of data security and privacy on the use of  the MyHR system and its associated issues. We determine and analyse where privacy","['', '', '', '', 'U7B_FmYAAAAJ']",16
1,Publication,… to hospital referral for patients with chronic kidney disease: a novel application for networked electronic health records to improve the accessibility and efficiency of …,"['J Stoves', 'J Connolly', 'CK Cheung']",2010,Quality and Safety …,care electronic health records with the nephrology service was introduced to implementation  practices. Participating GPs attended education workshops and received paper and e-,"['', '', 'X17NXxUAAAAJ']",105
2,Publication,Data accessibility model using QR Code for lifetime healthcare records,"['FNM Leza', 'NA Emran', 'MKA Ghani']",2014,World Appl. Sci. J,"is necessary in order to support sharing of complete lifetime patient records among  these  records are accessed are limited. In this paper, the conceptual model of data accessibility in","['oeUTR5UAAAAJ', 'Bwn-C34AAAAJ', '5lu_gZgAAAAJ']",12
3,Publication,Digital records management: the lacking foundation for continuing accessibility,['SL Xie'],2012,Online Information Review,"This paper presents the findings of one of the research teams of the project's third phase, ie  TEAM (Theoretical Elaboration into Archival Management) Canada of InterPARES 3, which,",[''],9
4,Publication,Exploring the potential of mobile phone records and online route planners for dynamic accessibility analysis,"['P García-Albertos', 'M Picornell']",2019,… Research Part A: Policy …,"This paper presents an innovative method to extract valuable information  accessibility  studies. First, the attractiveness of the desired destinations is measured using phone data records.","['', '']",61
5,Publication,Separate may not be equal: a preliminary investigation of clinical correlates of electronic psychiatric record accessibility in academic medical centers,"['DE Kozubal', 'QM Samus', 'AA Bakare', 'CC Trecker']",2013,International journal of …,"those with paper records and/or limited accessibility. All four types of psychiatric  stratified  by use of EMR, accessibility of psychiatric records, and accessibility of electronic psychiatric","['', '', '', '']",22
6,Publication,Convenience and medical patient database benefits and elasticity for accessibility therapy in different locations,"['BE Purnama', 'S Hartati']",2012,… Journal of Advanced Computer Science and …,Facilitate the benefits of this research is in the medical records of patients get  paper-based)  medical records which are familiar to practitioners. Patient records have been kept in paper,"['djUkyH0AAAAJ', '']",34
7,Publication,"Hospital mortality statistics in Tanzania: availability, accessibility, and quality 2006–2015","['IR Mremi', 'SF Rumisha']",2018,Population …,"indicate that data accessibility was poor. In data quality context, data accessibility is defined  as  in Tanzania, but without improvement in the quality of paper records, the full benefits of","['iqYobloAAAAJ', 'EtB6fhQAAAAJ']",9
8,Publication,"Accessibility and security of digital records in the Office of the Premier in Eastern Cape, South Africa",['N Muchaonyerwa'],2017,ESARBICA Journal,Digital records management systems should remain accessible and secure. Proper   accessibility of digital records for effective e-governance. This paper investigates the accessibility,[''],3
9,Publication,Issues in the accessibility and confidentiality of patient records,['JKM Gevers'],1983,Social Science & Medicine,"This paper highlights a number of issues, related to these structural  data, patient access to  records, disclosure of individually identifiable  In this paper, a number of issues relating to the",[''],16
