,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Audit committees as a governance device,['L Ionescu'],2014,"Economics, Management, and Financial Markets","the features of audit committee members  audit committee, processes and activities surrounding  AC meetings, the adoption and nature of audit committees, and the influence of the audit",['_NxXsu8AAAAJ'],14
1,Publication,Newborn circumcision using the Plastibell device: an audit of practice.,"['ND Duncan', 'SE Dundas', 'B Brown']",2004,The West Indian …,"Circumcision of newborn male infants is widely practiced but controversial. Our experience  gained circumcising 205 Jamaican neonates, using the Plastibell device is presented.","['', '', '']",33
2,Publication,The audit of public debt: Auditing as a device for political resistance in a neoliberal era,['C Gilbert'],2020,Critical Perspectives on Accounting,"government and the reactions of financial market actors to the debt audit, this paper provides  insights into the role that auditing can play in society as a device of political resistance.",['m-CYwtIAAAAJ'],3
3,Publication,A national audit of current cardiac device policies from radiotherapy centres across the UK,"['JF Lester', 'LM Evans', 'Z Yousef', 'A Penney', 'PN Brown']",2014,Clinical Oncology,to provide their current cardiac implantable electronic device policy or to indicate if there   temporary and permanent device malfunction [3]. Changes within the device parameters as,"['', '', '', '', '']",22
4,Publication,Reassessing standards of vascular access device care: a follow-up audit,"['R McGuire', 'E Norman', 'I Hayden']",2019,British Journal of Nursing,repeat audit of vascular access devices (VADs) in a district general hospital undertaken 4  years after a previous audit.  The findings of the follow-up audit show that the strategy has been,"['', '', '']",7
5,Publication,The feasibility of using 'bring your own device'(BYOD) technology for electronic data capture in multicentre medical audit and research,"['', 'South Yorkshire Hospitals Audit and Research ']",2016,…,‘bring your own device’ (BYOD) electronic data collection app to capture observational audit  data on  information governance policy for bring your own device. Data were collected by 17,"['', '']",22
6,Publication,The Renew® anal insert for passive faecal incontinence: a retrospective audit of our use of a novel device,"['CA Leo', 'GP Thomas', 'JD Hodgkinson']",2019,Colorectal …,This newer device can be used to treat patients who suffer from passive faecal incontinence.  The device seems to be safe and accepted by patients. Although this is an audit with its,"['', '', '']",10
7,Publication,Under pressure: an audit of airway device pressures,"['I Miao', 'R Jee', 'CL Pysyk']",2018,… Journal of Anesthesia/Journal canadien d' …,"Subsequently, we performed a quality assurance audit to measure ETT and SGA cuff  pressures and a survey of resident and staff anesthesiologists about their use of the cuff pressure","['', '', '']",9
8,Publication,The Camino intracranial pressure sensor: is it optimal technology? An internal audit with a review of current intracranial pressure monitoring technologies,"['I Piper', 'A Barnes', 'D Smith', 'L Dunn']",2001,Neurosurgery,"in using this device in our department, the rate of zero drift and device failure is unexpectedly   Our dissatisfaction with the in-house audit of our current ICP monitoring technology has","['', 'M8KOhXQAAAAJ', 'MyN1iYwAAAAJ', '']",111
9,Publication,Vision-guided placement of supraglottic airway device prevents airway obstruction: a prospective audit,"['AAJ Van Zundert', 'SP Gatt', 'CM Kumar']",2017,BJA: British Journal of …,device can be displaced as a result of: a) substandard fixation of the SAD or traction on the  device;  The results of this audit suggest that SADs can malposition during insertion and direct,"['4riSP0IAAAAJ', '', 'SDQtJ-oAAAAJ']",15
