,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Vallejos Evangeline B. v Commissioner of Registration: Why Foreign Domestic-Helpers Do Not Have the Right of Abode,['PJ Yap'],2011,Hong Kong LJ,identity card but her application was rejected by the Commissioner of Registration as s 2(4)(a)(  She next appealed to the Registration of Persons Tribunal and her appeal was dismissed.,['NfjeQXcAAAAJ'],1
1,Publication,"ed Deputy Sanitary Commissioner, Central Registration",['C WH'],1903,The Indian Medical Gazette,"Service Notes Page 1 *2! :s <P fljuitc Jiotcs. The BMJ for the 23rd May, 1903, claims credit  for the amelioration of the lot of the RAMC officers, which all RAM 0. officers will gratefully",[''],0
2,Publication,Refugee registration as foreclosure of the freedom to move: the virtualisation of refugees' rights within maps of international protection,['MFN Franke'],2009,Environment and Planning D: Society and …,"Commissioner for Refugees (UNHCR) seeks to locate refugees as part of the universe of  human rights through refugee registration  sophisticated computerised registration technology,",[''],46
3,Publication,"vice Captain T. Jackson, ims Major HCL Arnim, ims, is appointed Deputy Sanitary Commissioner, Gujarat Registration District. Captain A. Hooton, ims, is appointed …","[""DS Commissioner'Metropolitan""]",1904,The Indian Medical …,"Service Notes Page 1 & THE NEW WARRANT FOR THE IMS The following: extracts are taken  from an Editorial in The Journal of Tropical Medicine :? I here is, however, one great grievance",[''],0
4,Publication,"Marks in refusing registration of appellant's mark, and the de-cision of the Commissioner is affirmed.","[""CA O'Brien"", 'CR Gorman', ""JA L'Connell"", 'ES Rogers']",1988,NA,"Among the certificates of registration cited is one of January 31, 1893, and another of  on  the right of registration. As we interpret the decision of the Commissioner, he concurred in this","['', '', '', '']",0
5,Publication,Aboriginal and Torres Strait Islander Social Justice Commissioner,['M Gooda'],2011,Social Justice and Aboriginal and Torres Strait …,"registration and a birth certificate. In fact, this issue is so neglected in the public conscience  in Australia that the right to birth registration  A birth certificate, certifying the registration, is criti",[''],16
6,Publication,"least, that it is not descriptive. Being descriptive, the statute forbids its registration. The decision of the Commissioner of Patents is affirmed.","['MH Moore', 'MWF Hall']",1920,NA,"724), requires an applicant for registration to accompany his  before an applicant is entitled  to registration he must show that his  commerce,"" but the Commissioner, being of the view that","['', '']",0
7,Publication,"… appellee was damaged by such registration, and that it should be cancelled. We are in entire accord with the conclusion reached by the Commissioner of Patents, and …",['TM Rep'],1935,NA,Commissioner of Patents affirming the decision of the Examiner of Interferences dismissing  the notice of opposition of appellant and holding that appellee was entitled to the registration,[''],0
8,Publication,"We find no error in the decision of the Commissioner, sustaining the opposition of appellee and adjudging that appellant is not entitled to the registration which it seeks …",['PA No'],1932,NA,"to the Commissioner, this decision was reversed and an order entered cancelling the  registration.  We are clearly of opinion that the Commissioner was correct in his conclusion that",[''],0
9,Publication,… we must affirm the decision of the Commissioner sustaining appellee's notice of opposition and adjudging that appellant is not entitled to the registration for which it …,['M CONFLICTING'],NA,NA,Commissioner of Patents affirming the decision of the Examiner of Trade-Marks denying  appellant's application for registration  Appellant's application for registration was rejected by the,[''],0
10,Publication,… to belief. In this view of the case we are convinced that the Com-missioner was right in rejecting the registration of appellant's mark. The decision of the Commissioner …,['ER Alexander'],1926,NA,"In an opposition to the registration of the words ""My Own"" as a trade-mark for various food  products, it was held that testimony offered by appellant was insufficient to establish a date of",[''],0
