,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Early and Absentee Voting and Unrecorded Votes in the 2002 Midterm Election,"['D Kimball', 'M Kropf']",2004,Paper prepared for presentation at the 2004 …,not lessen the chances of another vote counting controversy. On the other  absentee  unrecorded votes to those cast at the polls on Election Day. We also analyze the effects of equipment,"['-Jv8t-wAAAAJ', 'GYH2xD4AAAAJ']",2
1,Publication,Seeing Is Believing: An Experiment on Absentee Ballots and Voter Confidence: Part of Special Symposium on Election Sciences,['LA Bryant'],2020,American Politics Research,"using equipment such as a vote tabulator, or experienced a problem with equipment while   correctly or that the rest of the vote counting process will continue without further issues. This",['VrkN9YMAAAAJ'],5
2,Publication,The changing nature… and costs… of election administration,['RS Montjoy'],2010,Public Administration Review,"The new ballot counting equipment and Automark systems for accessible voting had to be   increase in absentee ballots. Looking further down the table, we see that absentee voting",[''],57
3,Publication,Whose absentee votes are returned and counted: The variety and use of absentee ballots in California,"['RM Alvarez', 'TE Hall', 'B Sinclair']",2008,Electoral Studies,"To examine further the partisan breakdown of absentee ballot return and count rates, we  perform a series of counterfactuals (King et al., 2000, Tomz et al., 2003). We are interested in","['', '', 'USx6U-MAAAAJ']",29
4,Publication,Elections AZ,['J Moore'],2013,NA,"In California the absentee count may take a few days  example, officials count qualified  absentee ballots received  -intensive costs of absentee voting with the equipment and location",[''],37
5,Publication,Absentee ownership: Business enterprise in recent times: The case of America,"['T Veblen', 'MJ Levy']",2017,NA,"couldn't even count on dealing with the same person. In effect, when absentee ownership  became  truthfully, that the absentee owners of the country's industrial equipment come in for a","['', '']",1107
6,Publication,The Contemporary Presidency: The Presidential Election of 2000: A Great Civics Lesson?,['RL Dudley'],2001,Presidential Studies Quarterly,DRE voting stations and counting equipment are significantly more costly than Marksense   -in votes and liberalized absentee voting raises serious questions about the rules for counting.,[''],5
7,Publication,What happens at the polling place: Using administrative data to look inside elections,"['BC Burden', 'DT Canon', 'KR Mayer']",2017,Public Administration …,"), we find that central count processes reduce the number of  reports of unspecified equipment  errors and malfunctions to  the absentee ballot usage rate and whether absentee ballots","['-GjN8kAAAAAJ', 'Whz6EZMAAAAJ', 'yIP1E9gAAAAJ']",18
8,Publication,Error and Fraud at Issue as Absentee Voting Rises,['A Liptak'],2012,New York Times. October,"which absentee ballots to count. It was not an easy job.  , in which problems with absentee  ballots in Florida were a little- requested absentee ballots, but only 27.9 million absentee votes",[''],6
9,Publication,Michigan local leaders expect mixed impacts from expanded voter registration and absentee voting reforms,"['N Fitzpatrick', 'D Horner', 'TM Ivacko']",2020,Michigan Public Policy Survey …,"almost 7000 Permanent Absentee Voters, which will make my Counting Board extremely   , which will mean less tabulators available in the Counting Board. I was fine for May because","['rmPNhygAAAAJ', '', 'IQBbqtcAAAAJ']",2
10,Publication,"… Election Equipment Throughout the State; Provide for the Education of Voters, Election Officials, and Post Officers in the Operation of Election Equipment; …",['FC Pratt'],2001,NA,,[''],0
11,Publication,Acts,['AC Clark'],NA,NA,,[''],4
12,Publication,Accessing the Vote During a Pandemic,"['C Thomas', 'M Weil']",2020,NA,"the requests for and issuance of absentee ballots in a timely  in sending and subsequently  counting absentee ballots. To  , and equipment necessary to count all vote-by-mail ballots.","['', '']",0
