,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,A Systematic Semi-Supervised Self-adaptable Fault Diagnostics approach in an evolving environment,"['Y Hu', 'P Baraldi', 'F Di Maio', 'E Zio']",2017,Mechanical Systems and Signal …,a Systematic Semi-Supervised Self-adaptable Fault  -supervised feature selection method  developed to dynamically select the set of features in response to the evolving environment.,"['t0t8_BkAAAAJ', 'SPz44rQAAAAJ', 'OWmnxmMAAAAJ', 'Fz_uKmYAAAAJ']",35
1,Publication,The Case for Networked Remote Voting Precincts.,"['D Sandler', 'DS Wallach']",2008,EVT,"voting in a local polling place, and represents an improvement over postal voting by offering  the voter privacy in a supervised voting  postal voting by providing a voting environment that","['_bz9vIAAAAAJ', 'oM25EQkAAAAJ']",15
2,Publication,Semi-supervised learning in nonstationary environments,"['G Ditzler', 'R Polikar']",2011,The 2011 International Joint Conference …,-supervised  voting weights are determined based on the distances between Gaussian  mixture model components trained on both labeled and unlabeled data in a drifting environment.,"['diET1AsAAAAJ', 'sHzC_HQAAAAJ']",54
3,Publication,Mathematical algorithms for the supervised classification based on fuzzy partial precedence,"['J Ruiz-Shulcloper', 'M Lazo-Cortés']",1999,Mathematical and Computer Modelling,"mathematical algorithms for supervised classification problems  between objects in a fuzzy  environment. They do not use a  supervised classification problems in a fuzzy environment,","['ycFNLHQAAAAJ', 'k8Aa3CIAAAAJ']",28
4,Publication,Establishing a legal framework for e-voting in Canada,"['B Schwartz', 'D Grice']",2013,NA,"""The goal of this paper is to recommend a legal framework for e-voting in Canadian federal  electoral events. The research consisted of conducting extensive case studies of other","['', '']",15
5,Publication,Civitas: Toward a secure voting system,"['MR Clarkson', 'S Chong']",2008,2008 IEEE Symposium on …,"Remote voting. Electronic voting systems are often designed for supervised voting, which  assumes  VoteHere [57] offers coercion resistance, assuming a supervised voting environment.","['891RunEAAAAJ', '5bxyMBwAAAAJ']",506
6,Publication,Civitas and the real world: problems and solutions from a practical point of view,"['S Neumann', 'M Volkamer']",2012,2012 Seventh International …,"Then, the voter leaves the supervised registration authority  either the voting environment  or the verification environment, ie,  the voting environment and the verification environment at","['EfOOPRoAAAAJ', 've0UJIEAAAAJ']",44
7,Publication,An implementation of secure online voting system,"['A Nadaph', 'R Bondre', 'A Katiyar']",2015,International journal of …,"–In view of traditional voting environment, voting process is quite troublesome   for the way that they will be supervised. Voting scheme have grown from counting hands in","['', '', '']",10
8,Publication,Web page structured content detection using supervised machine learning,"['RP Velloso', 'CF Dorneles']",2019,International Conference on Web Engineering,"can not be used in an open environment (ie, an environment where we encounter any kind  of content In this paper, we analyze several possible supervised machine learning models for","['DvwWdtkAAAAJ', 'yERABKUAAAAJ']",2
9,Publication,Supervised machine learning techniques in cognitive radio networks during cooperative spectrum handovers,"['H Anandakumar', 'K Umamaheswari']",2017,Cluster Computing,The SpecPSO is proposed for optimizing handovers using supervised machine learning  technique for performing dynamic handover by adapting to the environment and make smart,"['', 'kkzFx-gAAAAJ']",275
