,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,A verifiable and practical lattice-based decryption mix net with external auditing,"['X Boyen', 'T Haines', 'J Müller']",2020,European Symposium on Research in …,decryption mix net which solely employs practical lattice-based primitives. We formally prove  that our mix  accountability which guarantees that misbehaving mix servers can also be,"['', 'bbt2PloAAAAJ', 'EATgy-wAAAAJ']",17
1,Publication,A practical mix,['M Jakobsson'],1998,International Conference on the Theory and …,"More precisely, we suggest a mix-network for decryption of a list of EIGamal [10] encrypted  messages, with the properties for privacy, availability, robustness, and efficiency listed in the",['3bag1c0AAAAJ'],252
2,Publication,A comparison between symmetric and asymmetric key encryption algorithm based decryption mixnets,"['S Ahmad', 'KMR Alam', 'H Rahman']",2015,… on Networking Systems …,"Mix-servers involved in a decryption mixnet receive independently and repeatedly encrypted  messages as their input, then successively decrypt and shuffle them to generate a new","['KuTTZ68AAAAJ', 'fJhozskAAAAJ', 'JywLW4sAAAAJ']",31
3,Publication,Optimal randomized partial checking for decryption mix nets,"['T Haines', 'J Müller']",2021,Australasian Conference on Information Security and …,"3, we explain how a decryption mix net works at a conceptual level, and in Sect. 4, we describe   6, we propose our new RPC protocol for decryption mix nets. In Sect. 7, we state that our","['bbt2PloAAAAJ', 'EATgy-wAAAAJ']",0
4,Publication,Making mix nets robust for electronic voting by randomized partial checking,"['M Jakobsson', 'A Juels', 'RL Rivest']",2002,11th USENIX Security Symposium …,"In a decryption mix net, we naturally replace Xj with a decryption function: each server Sj  de in a Chaumian mix net for a further decryption operation D. For a re-encryption mix net, the","['3bag1c0AAAAJ', 'uf0D-uoAAAAJ', '6qE0tdAAAAAJ']",537
5,Publication,"Efficient, verifiable shuffle decryption and its requirement of unlinkability",['J Furukawa'],2004,International Workshop on Public Key Cryptography,"shuffle-decryption, hybrid mix network, and other mix-nets.  and a decryption of k-data with  Groth’s protocol [13] by using the standard technique of proving the correctness of decryption,",[''],60
6,Publication,Verifiable Mix-Nets and Distributed Decryption for Voting from Lattice-Based Assumptions,"['DF Aranha', 'C Baum', 'K Gjøsteen', 'T Silde']",2022,Cryptology ePrint Archive,decryption operation in a verifiable way. We hand out key-shares of the secret decryption  key to each decryption  for this protocol with 4 mix-nodes and 4 decryption nodes. We have,"['FF26-mIAAAAJ', 'FrPOewEAAAAJ', 'Kp2jI7AAAAAJ', 'fWLrd9MAAAAJ']",0
7,Publication,Prêt à voter with re-encryption mixes,"['PYA Ryan', 'SA Schneider']",2006,… Symposium on Research in Computer Security,"After a suitable period, the tellers take over and perform a robust, anonymising, decryption  mix on the batch of posted receipts. Various approaches can be used to ensure that the tellers","['k2Uy_t4AAAAJ', 'RpVDhIoAAAAJ']",181
8,Publication,Reputable mix networks,['P Golle'],2004,International Workshop on Privacy Enhancing …,Note that the servers need not provide a zero-knowledge proof of correctness for decryption  (we are not aiming for robustness). The servers need not verify the validity of signatures,[''],34
9,Publication,Marked mix-nets,"['O Pereira', 'RL Rivest']",2017,… Conference on Financial Cryptography and Data …,"decryption process are also included in the mix-net definition). Since the objective is to hide  the permutation, the inputs and outputs to the mix- A mix-net can be just a single server, or a","['qRtfawUAAAAJ', '6qE0tdAAAAAJ']",16
