,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Veryvote: A voter verifiable code voting system,"['R Joaquim', 'C Ribeiro', 'P Ferreira']",2009,International Conference on E-Voting …,"code voting system, our solution comes with only a minor change in the voting interaction.   The first code voting implementation we are aware of was proposed in 2001 by Chaum [2], the","['caaoJBwAAAAJ', 'XzO-ivMAAAAJ', '3PHaUacAAAAJ']",45
1,Publication,Secure internet voting with code sheets,"['J Helbach', 'J Schwenk']",2007,International Conference on E-Voting and Identity,"In our voting scheme, we assume that distributing the code sheets by snail mail is relatively  secure; ie that attacks are possible, but that the percentage of attacked code sheets is","['L7uBldIAAAAJ', 'IetgqsgAAAAJ']",53
2,Publication,Risks of e-voting,"['M Bishop', 'D Wagner']",2007,Communications of the ACM,"code could exploit vulnerabilities in the voting software to spread virally from machine to  machine. As a result, when the voting  could then infect every voting machine in the county.","['2oclnIwAAAAJ', '67kghxAAAAAJ']",80
3,Publication,Usability of code voting modalities,"['K Marky', 'M Schmitz', 'F Lange']",2019,Extended Abstracts of the …,"the usability of three code voting modalities that could be used for voting code interaction:   the voting code to a voting option in the tally. Then, the voters enter the voting code that","['FycJHgUAAAAJ', 'cA45agkAAAAJ', '']",8
4,Publication,Protecting code voting against vote selling,"['R Oppliger', 'J Schwenk', 'J Helbach']",2008,… der Gesellschaft für Informatik eV (GI),"of code voting to vote selling, argue that the situation is comparable to all-postal voting, and   In summary, we think that all-postal voting and code voting are similarly susceptible to vote","['', 'IetgqsgAAAAJ', 'L7uBldIAAAAJ']",22
5,Publication,Code voting with linkable group signatures,"['J Helbach', 'J Schwenk', 'S Schäge']",2008,… Conference on Electronic Voting 2008 …,of code voting and propose to extend code voting to  code voting approach in detail and  show that it is vulnerable against vote selling and denial of service attacks regarding the voting,"['L7uBldIAAAAJ', 'IetgqsgAAAAJ', 'TH2dFUUAAAAJ']",24
6,Publication,Source code review of the Diebold voting system,"['JA Calandrino', 'AJ Feldman', 'JA Halderman']",2007,University of California …,This report is a security analysis of the Diebold voting  code that we conducted at the  request of the California Secretary of State as part of a “top-to-bottom” review of California voting,"['', '471mb4wAAAAJ', 'h6yXnyEAAAAJ']",56
7,Publication,Analysis of an electronic voting system,"['T Kohno', 'A Stubblefield', 'AD Rubin']",2004,IEEE Symposium on …,voting systems from a number of different vendors. We present a security analysis of the  source code to  Our analysis shows that this voting system is far below even the most minimal,"['s_YDrrgAAAAJ', '', 'KWez2_sAAAAJ']",785
8,Publication,Two simple code-verification voting protocols,['H Lipmaa'],2011,Cryptology ePrint Archive,"nationwide Internet voting will make use of a setting that we will call the codeverification voting.   Even without considering that, the coalition of two online voting servers can breach voter",['kZch-sMAAAAJ'],17
9,Publication,On the notion of 'software independence'in voting systems,['RL Rivest'],2008,… Transactions of the Royal Society A …,replace any of the existing software used by the voting systems by the software of your  own construction (you may assume that you have the source code for the existing software).,['6qE0tdAAAAAJ'],148
10,Publication,New Standards for E-Voting Systems: Reflections on Source Code Examinations,"['T Haines', 'P Roenne']",2021,… Conference on Financial Cryptography and Data …,"related to a larger issue; the code of e-voting systems, and the  Looking at the interactions  of various academics with e-voting  for e-voting vendors is to clearly document their code and","['bbt2PloAAAAJ', '6y0WPNwAAAAJ']",1
11,Publication,Subordinated Claims: Their Classification and Voting Under Chapter 11 of the Bankruptcy Code,['DC Cohn'],1982,Am. Bankr. LJ,The United States Bankruptcy Code (11 USC §§ 101 et seq.) does not specify the method by  which subordination of claims should be implemented in a chapter 11 reorganization. Left,[''],56
12,Publication,Attacking the verification code mechanism in the norwegian internet voting system,"['RE Koenig', 'P Locher', 'R Haenni']",2013,International conference on e-voting and …,"The idea of code voting is to enter candidate codes  code sheets are called poll cards [6]  or voting cards [7]. We prefer to call them code sheets, as it is common in the code voting","['', '', '5trvGV0AAAAJ']",20
13,Publication,Security analysis of the Diebold AccuVote-TS voting machine,"['AJ Feldman', 'JA Halderman', 'EW Felten']",2006,NA,not even attempt to verify the authenticity of the code it executes. In this section we describe   malicious code into the voting machine. We then outline several methods by which code can,"['471mb4wAAAAJ', 'h6yXnyEAAAAJ', 'watx0IAAAAAJ']",248
14,Publication,Comparing “challenge-based” and “code-based” internet voting verification implementations,"['O Kulyk', 'J Henzel', 'K Renaud', 'M Volkamer']",2019,IFIP Conference on Human …,"the “verify” option, the voting client displays a QR-code with the chosen voting option and the   -code. (7) The verifier app encrypts the voting option with the displayed randomness code.","['08IyY1AAAAAJ', '', 'u6VeU9UAAAAJ', 've0UJIEAAAAJ']",9
15,Publication,Coercion,['S Anderson'],2006,NA,"Because of its usefulness and its sometimes devastating effects, coercion is a matter of   of coercion as a primitive. Since the 1970s, however, the nature and function of coercion has",[''],199
16,Publication,Coercion and its fallout,['M Sidman'],1989,NA,"NEW IN 1989 A behavior analyst views the devastating consequences of coercion in the  schools, on the job, in law enforcement, the family, diplomacy. Sid man writes not just for",['JwRpkmYAAAAJ'],608
17,Publication,Authority and coercion,['A Ripstein'],2004,Philosophy & Public Affairs,"States claim to be entitled to tell you what to do, and to force you to do as you are told. This  dual claim to authority and coercion is familiar in the context of the criminal law. It claims to",['JJT82yQAAAAJ'],243
18,Publication,Coercion,['A Wertheimer'],2014,Coercion,"In addition, (what I call) coercion claims are crucial to our views of  The purpose of this book  is to develop a theory of coercion. I  of coercion emerges from an analysis of the way coercion",[''],580
19,Publication,The quality school: Managing students without coercion.,['W Glasser'],1990,NA,"Noncoercive student management practices to promote quality school work are examined  in this book, which is based on the assertion that student motivation to perform quality work",[''],1528
20,Publication,Coercion in psychiatry,['TW Kallert'],2008,Current opinion in psychiatry,"Studies on the ‘patient's perspective’, and ‘family burden of coercion’ showed that  involuntariness is associated with feeling excluded from participation in the treatment. A",[''],102
21,Publication,"The global diffusion of public policies: Social construction, coercion, competition, or learning?","['F Dobbin', 'B Simmons', 'G Garrett']",2007,Annu. Rev. Sociol.,"A review of the contending theories of diffusion—constructivism, coercion, competition, and   , and so do most of the hard coercion theorists. The soft coercion theorists point as well to","['g-QtYbIAAAAJ', 'HhTf1noAAAAJ', 'OVvyaoUAAAAJ']",1532
22,Publication,Aspect shift and coercion,['H De Swart'],1998,Natural language & linguistic theory,"This paper develops an analysis of aspect shift and applies it to French and English. The  Progressive, the Perfect/Parfait, and duration adverbials introduced by in or for are interpreted",['1QruYOEAAAAJ'],1017
23,Publication,Liberty and Coercion,['G Gerstle'],2017,Liberty and Coercion,"IntroductIon this book reconstructs the history of American government from its dem-ocratic,  liberal, and federal beginnings in the eighteenth century to the Leviathan it has become in",[''],156
24,Publication,"Distributive justice, state coercion, and autonomy",['M Blake'],2001,Philosophy & public affairs,"Liberalism has difficulty with the fact of state borders. Liberals are, on the one hand, committed  to moral equality, so that the simple fact of humanity is sufficient to motivate a demand for",['Mm14TeMAAAAJ'],962
25,Publication,Police culture and coercion,"['W Terrill', 'EA PAOLINE III', 'PK Manning']",2003,Criminology,"Researchers have long noted the link between police culture and coercion. To date, however,  there have been no empirical studies of this relationship. Using data collected as part of a","['VzsNt-MAAAAJ', 'sD0fWMIAAAAJ', '']",419
26,Publication,Coercion to Speak,['A Fogel'],2013,Coercion to Speak,"I am grateful to Quentin Anderson for his enthusiasm and indispensable criticism of this work  in its early stages; to Robert Caserío for his close readings of extended sections, and for",[''],176
