,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,"Requirements, design and implementation of an e-voting system.",['GZ Qadah'],2005,IADIS AC,Voting extends polling hours (anytime voting) and enables casting of votes from any place  (anywhere voting The architecture of an e-voting system that satisfies the stated requirements,['31rgnG0AAAAJ'],12
1,Publication,Analysis of a distributed e-voting system architecture against quality of service requirements,"['JP Gibson', 'E Lallet', 'JL Raffy']",2008,2008 The Third International …,voting systems and the software within. We illustrate how a distributed e-voting system  architecture  research were new requirements for voting anywhere and re-voting; and the potential,"['FqpABj8AAAAJ', '', '']",7
2,Publication,COVID-19: Implementation e-voting blockchain concept,"['M Kamil', 'AS Bist', 'U Rahardja', 'NPL Santoso']",2021,International Journal of …,"be carried out anywhere through the device without the need to be present in the voting booth,   System Architecture Fig4 explains the architecture system design on blockchain-based E-","['2cWjiBkAAAAJ', '', 'LzNShycAAAAJ', 'un6BJ34AAAAJ']",20
3,Publication,Digital voting: A blockchain-based e-voting system using biohash and smart contract,"['ST Alvi', 'MN Uddin', 'L Islam']",2020,2020 Third International …,Voting architecture with the inclusion of a smart contract to reduce challenges generated during  the adoption of blockchain with voting  can cast vote from voting machine from anywhere.,"['337NzQEAAAAJ', 'jRQ1554AAAAJ', '7Ker9eUAAAAJ']",11
4,Publication,"Electronic Voting System using Biometrics, Raspberry Pi and TFT module","['AM Jagtap', 'V Kesarkar']",2019,2019 3rd International …,to the voting system the paper “An Online Voting System  deals with the architecture and  progress of a voting system (mainly  from anywhere in India just by visiting to the voting center to,"['', '']",10
5,Publication,A modular voting architecture (“frog voting”),"['S Bruck', 'D Jefferson', 'RL Rivest']",2010,Towards trustworthy elections,This paper presents a new framework–a reference architecture– for voting that we feel has  many  It is potentially the standard architecture for all future voting equipment. The ideas,"['HgaNy9kAAAAJ', '', '6qE0tdAAAAAJ']",18
6,Publication,"Electronic voting systems: Requirements, design, and implementation","['GZ Qadah', 'R Taha']",2007,Computer Standards & Interfaces,"of a generic e-voting system capable of supporting a number  (anytime voting), from  any-location (anywhere voting) and  and the architecture of Section 4, a prototype for an e-voting","['31rgnG0AAAAJ', 'g35vvAUAAAAJ']",132
7,Publication,Analysis of internet voting in India,"['VP Singh', 'H Pasupuleti']",2017,… international conference on …,facilitating voting from anywhere around the world. It provides a solution to the voting issues   concern in the client server architecture followed by Internet voting systems. We implement a,"['I4fin70AAAAJ', '']",9
8,Publication,"Mobile, secure e-voting architecture for the Nigerian electoral system",['NE Reginald'],2015,IOSR Journal of Computer Engineering (IOSR-JCE) …,(2007) defined e-voting systems as systems that allow the eligible voter to cast their vote via   anywhere like home or office. The basic feature of electronic voting and an electronic voting,[''],5
9,Publication,Next generation a secure e-voting system based on biometric fingerprint method,"['K Memon', 'D Kumar', 'S Usman']",2011,International Conference on …,Now in this system voters can cast their votes from anywhere in world. E- a biometric based  secure eVoting system for Pakistan election commission. The architecture of our system is,"['', 'ax2wd1UAAAAJ', 'Wp8fHi0AAAAJ']",11
10,Publication,M-voting: a panacea for enhanced e-participation,"['UO Ekong', 'V Ekong']",2010,Asian Journal of Information Technology,"• It is convenient, since voting can be performed from anywhere and any place within the   of M-voting prototype Design architecture: The architecture is a 3-tier architecture that is","['9QvxfkoAAAAJ', 'cRgtavwAAAAJ']",35
11,Publication,A framework for exercising voting rights from anywhere using ICT infrastructure,['S Agarwal'],2011,Journal of Global Research in Computer Science,to explore the difficulties of voting confined to a polling centre  or the general voting  populace by voting. The modern  the voting principles are adhered to in the proposed voting,['obS1g1gAAAAJ'],1
12,Publication,A security analysis of the secure electronic registration and voting experiment (SERVE),"['D Jefferson', 'AD Rubin', 'B Simons']",2004,Recuperado de: http://euro …,"We do suggest a kiosk architecture as a starting point for designing an alternative voting  system  We know of no major studies anywhere, then or since, that have come to any different","['', 'KWez2_sAAAAJ', '']",175
13,Publication,An implementation of secure online voting system,"['A Nadaph', 'R Bondre', 'A Katiyar']",2015,International journal of …,"Author of [1] has proposed an architecture in which voting is done  Hence, the proposed  architecture in [1] ensures assurability,  his/her voting rights from anywhere in country. The online","['', '', '']",10
14,Publication,A service-oriented architecture for robust e-voting,"['R Cooke', 'R Anane']",2012,Service Oriented Computing and Applications,Voters will be able to cast their vote anytime and anywhere.  architecture provides full  support for the e-voting process and satisfies all the e-voting requirements with the exception of,"['', 'oOdwEoQAAAAJ']",10
15,Publication,ATLAS Run 1 searches for direct pair production of third-generation squarks at the Large Hadron Collider,"['', 'J Antos', 'F Anulli', 'M Aoki', 'L Aperio Bella']",2015,The European Physical …,This paper reviews and extends searches for the direct pair production of the scalar  supersymmetric partners of the top and bottom quarks in proton–proton collisions collected by the,"['', '', '', '', '']",476
16,Publication,A particle consistent with the Higgs boson observed with the ATLAS detector at the Large Hadron Collider,"['', 'J Antos', 'F Anulli', 'M Aoki', 'S Aoun', 'L Aperio Bella']",2012,Science,"Nearly 50 years ago, theoretical physicists proposed that a field permeates the universe  and gives energy to the vacuum. This field was required to explain why some, but not all,","['', '', '', '', '', '']",192
17,Publication,Performance of the ATLAS trigger system in 2015,"['', 'DJ Antrim', 'F Anulli', 'M Aoki', 'L Aperio Bella']",2017,The European Physical …,"During 2015 the ATLAS experiment recorded\(3.8\,{\mathrm {fb}}^{-1}\) of proton–proton collision  data at a centre-of-mass energy of\(13\,{\mathrm {TeV}}\). The ATLAS trigger system is a","['', '', '', '', '']",3758
18,Publication,Muon reconstruction performance of the ATLAS detector in proton–proton collision data at  s =13 TeV,"['', 'J Antos', 'F Anulli', 'M Aoki', 'L Aperio Bella']",2016,The European Physical …,This article documents the performance of the ATLAS muon identification and reconstruction  using the LHC dataset recorded at $$\sqrt{s} = 13$$ s = 13 TeV in 2015. Using a large,"['', '', '', '', '']",2403
19,Publication,Electron efficiency measurements with the ATLAS detector using 2012 LHC proton–proton collision data,"['', 'DJ Antrim', 'F Anulli', 'M Aoki', 'L Aperio Bella']",2017,The European Physical …,This paper describes the algorithms for the reconstruction and identification of electrons in  the central region of the ATLAS detector at the Large Hadron Collider (LHC). These,"['', '', '', '', '']",2044
20,Publication,Luminosity determination in pp collisions at  TeV using the ATLAS detector at the LHC,"['', 'J Antos', 'F Anulli', 'S Aoun', 'L Aperio Bella']",2011,The European Physical …,Measurements of luminosity obtained using the ATLAS detector during early running of the  Large Hadron Collider (LHC) at $\sqrt{s} = 7$ TeV are presented. The luminosity is,"['', '', '', '', '']",1969
21,Publication,Measurement of the muon reconstruction performance of the ATLAS detector using 2011 and 2012 LHC proton–proton collision data,"['', 'J Antos', 'F Anulli', 'M Aoki', 'L Aperio Bella']",2014,The European Physical …,"This paper presents the performance of the ATLAS muon reconstruction during the LHC run  with $$pp$$ p p collisions at $$\sqrt{s}=7$$ s = 7 –8 TeV in 2011–2012, focusing mainly on","['', '', '', '', '']",1618
22,Publication,Electron and photon energy calibration with the ATLAS detector using LHC Run 1 data,"['', 'J Antos', 'F Anulli', 'M Aoki', 'L Aperio Bella']",2014,The European Physical …,This paper presents the electron and photon energy calibration achieved with the ATLAS  detector using about 25 fb $$^{-1}$$ - 1 of LHC proton–proton collision data taken at centre-of-,"['', '', '', '', '']",1485
23,Publication,Measurement of the Z/γ * boson transverse momentum distribution in pp collisions at s = 7  TeV with the ATLAS detector,"['', 'J Antos', 'F Anulli', 'M Aoki', 'L Aperio Bella']",2014,Journal of High Energy …,This paper describes a measurement of the Z/γ* boson transverse momentum spectrum using  ATLAS proton-proton collision data at a centre-of-mass energy of\(\sqrt {s}= 7\) TeV at the,"['', '', '', '', '']",1247
24,Publication,Measurements of the Higgs boson production and decay rates and constraints on its couplings from a combined ATLAS and CMS analysis of the LHC pp …,"['', 'J Antos', 'F Anulli', 'M Aoki', 'L Aperio Bella']",2016,Journal of High Energy …,"Combined ATLAS and CMS measurements of the Higgs boson production and decay rates,  as well as constraints on its couplings to vector bosons and fermions, are presented. The","['', '', '', '', '']",1190
25,Publication,Jet energy resolution in proton-proton collisions at  recorded in 2010 with the ATLAS detector,"['', 'F Anulli', 'M Aoki', 'S Aoun', 'L Aperio Bella']",2013,The European Physical …,The measurement of the jet energy resolution is presented using data recorded with the ATLAS  detector in proton-proton collisions at\(\sqrt {s}= 7\mbox {TeV}\). The sample corresponds,"['', '', '', '', '']",1168
26,Publication,Measurement of the top quark-pair production cross section with ATLAS in pp collisions at   TeV,"['', 'B Antunovic', 'F Anulli', 'S Aoun', 'L Aperio Bella']",2011,The European Physical …,A measurement of the production cross-section for top quark pairs (\(t\bar {t}\)) in pp collisions  at\(\sqrt {s}= 7\\\mbox {TeV}\) is presented using data recorded with the ATLAS detector at,"['', 'M4VwGFIAAAAJ', '', '', '']",1036
27,Publication,Measurement of the inclusive isolated prompt photon cross section in pp collisions at s = 8  TeV with the ATLAS detector,"['', 'J Antos', 'F Anulli', 'M Aoki', 'L Aperio Bella']",2016,Journal of High Energy …,A measurement of the cross section for the inclusive production of isolated prompt photons  in proton-proton collisions at a centre-of-mass energy of\(\sqrt {s}= 8\) TeV is presented. The,"['', '', '', '', '']",944
28,Publication,Measurements of the Higgs boson production and decay rates and coupling strengths using pp collision data at  s = 7 and 8 TeV in the ATLAS …,"['', 'J Antos', 'F Anulli', 'M Aoki', 'L Aperio Bella']",2016,The European Physical …,Combined analyses of the Higgs boson production and decay rates as well as its coupling  strengths to vector bosons and fermions are presented. The combinations include the results,"['', '', '', '', '']",830
